Energy,day,time,index,
5,11112018,2240,1,
5,11112018,2248,1,
5,11112018,2253,1,
5,11112018,2300,1,
5,11112018,2309,1,
5,11112018,2311,1,
5,11112018,2318,1,
5,11112018,2324,1,
4,12112018,29,1,
0,12112018,36,1, 4GeV no tvec
4,12112018,43,1,
4,12112018,51,1,
4,12112018,58,1,
4,12112018,108,1,
4,12112018,118,1,
4,12112018,120,1,
4,12112018,124,1,
3,12112018,150,1,
0,12112018,159,1,3
3,12112018,200,1,
3,12112018,204,2,
3,12112018,213,1,
3,12112018,221,1,
3,12112018,223,1,
3,12112018,230,1,
3,12112018,238,1,
3,12112018,241,1,
3,12112018,245,1,
3,12112018,249,1,
3,12112018,253,1,
2,12112018,312,1,
2,12112018,318,1,
2,12112018,335,1,
2,12112018,349,1,
2,12112018,403,1,
2,12112018,416,1,
2,12112018,431,1,
2,12112018,434,1,
2,12112018,444,1,
0,12112018,639,1,6
6,12112018,643,1,
6,12112018,646,1,
0,12112018,650,1,6
6,12112018,656,1,
6,12112018,700,1,
6,12112018,703,1,
6,12112018,705,1,
6,12112018,708,1,
6,12112018,710,1,
0,12112018,712,1,6
6,12112018,713,1,
6,12112018,715,1,
6,12112018,718,1,
6,12112018,721,1,
6,12112018,724,1,
5,12112018,729,1,
